feature,rf_importance,shap_importance
type_token_ratio,0.0890607062751289,0.0593391399902488
hapax_legomenon_ratio,0.0864798320247971,0.0560089537656291
noun_ratio,0.0845470245826404,0.0560813476623166
flesch_kincaid_grade,0.058329327031966,0.0331341754121392
avg_word_length,0.055094669231413,0.033101726674785
char_count,0.0532717121615459,0.0310387126947055
coleman_liau_index,0.0503353852523912,0.0258669095511218
gunning_fog,0.0494932904991437,0.0314343731521605
unique_word_count,0.0382756603519562,0.0175962457616204
function_word_ratio,0.0377376499572446,0.0198460838665689
adv_ratio,0.0347879319285387,0.0237552458770008
avg_sentence_length,0.034296795790378,0.0176623985187066
word_count,0.0341998008887883,0.0131429785594178
verb_ratio,0.0336561576753393,0.0233752700886273
smog_index,0.0330516001672233,0.0168122032967089
flesch_reading_ease,0.0320835348369931,0.0136587919787827
adj_ratio,0.0304844241680936,0.0185507574372945
punctuation_density,0.0221606203110976,0.0140673709159047
adp_ratio,0.0208999787636424,0.0
colon_count,0.0204662904851355,0.0111561230364257
comma_count,0.0,0.0117433697408899
